year,month,state,rto,fuel_segment,fuel_type,fuel_filter,vehicle_category_filter,norms_filter,vehicle_class_filter,vehicle_count,scraped_at,source_url
2022,2,Maharashtra,All Vahan4 Running Office,NON_EV,PETROL(E20)/LPG,ALL,ALL,ALL,ALL,0,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Maharashtra,All Vahan4 Running Office,NON_EV,PETROL/CNG,ALL,ALL,ALL,ALL,8993,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Maharashtra,All Vahan4 Running Office,NON_EV,PETROL/HYBRID,ALL,ALL,ALL,ALL,1302,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Maharashtra,All Vahan4 Running Office,NON_EV,PETROL/HYBRID/CNG,ALL,ALL,ALL,ALL,5,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,2,Maharashtra,All Vahan4 Running Office,NON_EV,PETROL/LPG,ALL,ALL,ALL,ALL,56,2026-06-02T16:29:55.803Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Chhattisgarh,All Vahan4 Running Office,NON_EV,CNG ONLY,ALL,ALL,CEV STAGE V,CONSTRUCTION EQUIPMENT VEHICLE,0,2026-07-17T15:55:43.697Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Chhattisgarh,All Vahan4 Running Office,NON_EV,DIESEL,ALL,ALL,CEV STAGE V,CONSTRUCTION EQUIPMENT VEHICLE,5469,2026-07-17T15:55:43.697Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Chhattisgarh,All Vahan4 Running Office,NON_EV,DIESEL/HYBRID,ALL,ALL,CEV STAGE V,CONSTRUCTION EQUIPMENT VEHICLE,0,2026-07-17T15:55:43.697Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Chhattisgarh,All Vahan4 Running Office,EV,ELECTRIC(BOV),ALL,ALL,CEV STAGE V,CONSTRUCTION EQUIPMENT VEHICLE,1304,2026-07-17T15:55:43.697Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Chhattisgarh,All Vahan4 Running Office,NON_EV,LPG ONLY,ALL,ALL,CEV STAGE V,CONSTRUCTION EQUIPMENT VEHICLE,5,2026-07-17T15:55:43.697Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
