year,month,state,rto,maker,fuel_filter,vehicle_category_filter,norms_filter,vehicle_class_filter,vehicle_count,scraped_at,source_url
2026,5,INDIA TOTAL,All Vahan4 Running Office,MITSUBISHI MOTORS CORPORATION,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,1,2026-06-14T09:45:02.904Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,NANJING GOLDEN (IMPORTER: KALY EMOTORS),ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,0,2026-06-14T09:45:02.904Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,NISSAN MOTOR INDIA PVT LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,2982,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,OKINAWA AUTOTECH PVT LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,7,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,OTHERS,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,0,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,PINNACLE MOBILITY SOLUTIONS PVT LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,1,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,PORSCHE AG GERMANY,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,47,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,POWERLAND AGRO TRACTOR VEHICLES PVT LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,0,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,RANGE AUTOMOBILES PVT LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,0,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,RENAULT INDIA PVT LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,4191,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,RENAULT NISSAN AUTOMOTIVE INDIA PRIVATE LIMITED,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,0,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,ROLLS ROYCE,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,1,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,ROLLS ROYCE MOTOR (IMPORTER: KUN MOTOR),ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,2,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,ROLLS-ROYCE MOTOR CARS(IMPORTER:SELECT CARS P LTD),ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,3,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,ROYAL-ENFIELD (UNIT OF EICHER LTD),ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,1,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,SHREE SHYAM AGROTECH,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,0,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,SKODA AUTO AS,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,2,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,SKODA AUTO INDIA PVT LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,1,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,SKODA AUTO VOLKSWAGEN INDIA PVT LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,8522,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,SML MAHINDRA LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,1,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,STELLANTIS AUTOMOBILES INDIA PVT LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,608,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,STELLANTIS INDIA PVT LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,210,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,SUZUKI MOTORCYCLE INDIA PVT LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,13,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,TATA ADVANCED SYSTEMS LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,0,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,TATA MOTORS LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,110,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,TATA MOTORS PASSENGER VEHICLES LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,44024,2026-06-14T09:45:02.905Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
